BID;Ask;spread;datetime;timestamp
1.09027;1.09027;0.00000;2023.04.04 00:00;1680566400
1.09017;1.09017;0.00000;2023.04.04 00:01;1680566500
1.09007;1.09007;0.00000;2023.04.04 00:01;1680566501
1.09017;1.09017;0.00000;2023.04.04 00:05;1680566700
1.09020;1.09020;0.00000;2023.04.04 00:05;1680566737
1.09019;1.09019;0.00000;2023.04.04 00:05;1680566750
1.09020;1.09020;0.00000;2023.04.04 00:06;1680566775
1.09019;1.09019;0.00000;2023.04.04 00:06;1680566787
1.09018;1.09018;0.00000;2023.04.04 00:06;1680566800
1.09019;1.09019;0.00000;2023.04.04 00:07;1680566825
1.09018;1.09018;0.00000;2023.04.04 00:07;1680566837
1.09017;1.09017;0.00000;2023.04.04 00:07;1680566850
1.09018;1.09018;0.00000;2023.04.04 00:07;1680566862
1.09017;1.09017;0.00000;2023.04.04 00:07;1680566875
1.09015;1.09015;0.00000;2023.04.04 00:08;1680566900
1.09016;1.09016;0.00000;2023.04.04 00:08;1680566925
1.09015;1.09015;0.00000;2023.04.04 00:09;1680566950
1.09016;1.09016;0.00000;2023.04.04 00:10;1680567000
1.09014;1.09014;0.00000;2023.04.04 00:10;1680567033
1.09015;1.09015;0.00000;2023.04.04 00:10;1680567049
1.09014;1.09014;0.00000;2023.04.04 00:11;1680567066
1.09013;1.09013;0.00000;2023.04.04 00:11;1680567099
1.09015;1.09015;0.00000;2023.04.04 00:11;1680567115
1.09017;1.09017;0.00000;2023.04.04 00:12;1680567132
1.09016;1.09016;0.00000;2023.04.04 00:12;1680567165
1.09018;1.09018;0.00000;2023.04.04 00:13;1680567181
1.09019;1.09019;0.00000;2023.04.04 00:13;1680567198
1.09018;1.09018;0.00000;2023.04.04 00:13;1680567231
1.09020;1.09020;0.00000;2023.04.04 00:14;1680567247
1.09021;1.09021;0.00000;2023.04.04 00:14;1680567249
1.09019;1.09019;0.00000;2023.04.04 00:15;1680567300
1.09015;1.09015;0.00000;2023.04.04 00:15;1680567325
1.09016;1.09016;0.00000;2023.04.04 00:15;1680567350
1.09014;1.09014;0.00000;2023.04.04 00:16;1680567375
1.09016;1.09016;0.00000;2023.04.04 00:16;1680567387
1.09018;1.09018;0.00000;2023.04.04 00:16;1680567400
1.09017;1.09017;0.00000;2023.04.04 00:17;1680567425
1.09019;1.09019;0.00000;2023.04.04 00:17;1680567437
1.09021;1.09021;0.00000;2023.04.04 00:17;1680567450
1.09020;1.09020;0.00000;2023.04.04 00:17;1680567475
1.09022;1.09022;0.00000;2023.04.04 00:18;1680567487
1.09023;1.09023;0.00000;2023.04.04 00:18;1680567500
1.09021;1.09021;0.00000;2023.04.04 00:18;1680567525
1.09022;1.09022;0.00000;2023.04.04 00:19;1680567550
1.09021;1.09021;0.00000;2023.04.04 00:19;1680567551
1.09009;1.09009;0.00000;2023.04.04 00:20;1680567600
1.09018;1.09018;0.00000;2023.04.04 00:20;1680567616
1.09027;1.09027;0.00000;2023.04.04 00:20;1680567633
1.09026;1.09026;0.00000;2023.04.04 00:20;1680567644
1.09024;1.09024;0.00000;2023.04.04 00:20;1680567655
1.09023;1.09023;0.00000;2023.04.04 00:21;1680567666
1.09028;1.09028;0.00000;2023.04.04 00:21;1680567677
1.09032;1.09032;0.00000;2023.04.04 00:21;1680567688
1.09037;1.09037;0.00000;2023.04.04 00:21;1680567699
1.09036;1.09036;0.00000;2023.04.04 00:21;1680567710
1.09035;1.09035;0.00000;2023.04.04 00:22;1680567721
1.09034;1.09034;0.00000;2023.04.04 00:22;1680567732
